VAR_DEP	BANCARIZADOS	EDAD	tipo_vivienda	SEXO	dependiente	est_civil	num_cargas	egresos_mensuales	ingresos_mensuales	SAL_DEUDA_N	NUM_DVEN_N	NUM_CONSUMO	SIGMA_TIC	PROM_TIC	CV_TIC	mold	score	NUM_TC_VIGENTES_REVTC	MAX_ANTIGUEDAD_TC_REVTC	PORC_CUPO_REVTC	CUPO_POR_TC_VIG	LN_CUPO_POR_TC_VIG	LN_rdt_cant_total_24_tc	COMPROMETIDO_EST	LN_rdt_cant_total_12_tc	LN_rope_corr_y_rot_12_tc	LN_rfp24_consumo	PORC_CUPO_6M	CUPO_POR_TC_CONSUMO	LN_rdop_3ab12_tc	LN_rdop_3ab12_consumo
1	1	82	Otros	MASCULINO	NO	SOLTERO	0	400	1000	48,98	0	2	2,8284	2	1,4142	82	939	1	0	87,14	56,21	4,03	10,23	0,07	9,77	-0,41	0	0,64	56,21	0	0
1	1	57	PROPIO	FEMENINO	NO	SOLTERO	0		292	4330,65	0	3	4	4	1	194	957	2	21	433,07	200	5,3	4,23	0,16	3,53	-4,61	-4,61	1,82	400	-4,61	-4,61
1	1	49	-	MASCULINO	NO	CASADO	1	400	25000	5200	0	12	0,4264	1	0,4264	37	600	1	0	247,62	3700	8,22	8,69	0,69	8	-0,41	0	0,23	3700	-4,61	-4,61
1	1	22	Familiar	MASCULINO	NO	SOLTERO	0		725	2267,89	0	1	13	1	13	2	965	2	0	90,72	1250	7,13	-4,61	0,46	-4,61	-4,61	0	0,15	2500	-4,61	0
1	1	19	Familiar	MASCULINO	NO	SOLTERO	0		324	1270,92	0	1	13	1	13	1	917	2	0	90,78	700	6,55	9,45	0,34	9,86	0	0	0,15	1400	-4,61	0
1	1	24	PROPIO	MASCULINO	NO	SOLTERO	0	280	450	1950,44	0	1	13	1	13	17	30	2	0	88,66	1100	7	5,72	0,39	5,72	-0,69	-4,61	0,15	2200	0	-4,61
1	1	19	Familiar	MASCULINO	NO	SOLTERO	0	360	900	1543,74	0	1	13	1	13	1	874	2	0	85,76	900	6,8	5,78	0,23	5,78	0	0	0,14	1800	0	0
1	1	63	Propia	FEMENINO	NO	DIVORCIADO	0	860	3000	1200	13	10	0,7888	1,2	0,6573	103	941	1	0	240	1400	7,24	10,03	0,16	9,35	-0,69	-4,61	0,2	1400	-4,61	0
1	1	53	Familiar	MASCULINO	NO	SOLTERO	0	440	1100	1661,61	0	1	13	1	13	75	926	2	0	79,12	1050	6,96	10,91	0,22	10,17	-0,69	0	0,13	2100	0	-0,69
1	1	32	Familiar	MASCULINO	N	SOLTERO	0		500	1032,94	0	1	13	1	13	3	464	2	0	91,17	566,47	6,34	10,71	0,15	9,32	-0,41	0	0,15	1132,94	0	-4,61
1	1	24	Familiar	MASCULINO	NO	SOLTERO	0			1569,48	0	1	13	1	13	54	957	2	0	87,19	900	6,8	11,34	0,24	11,11	0	0	0,15	1800	0	-4,61
1	1	24	Familiar	MASCULINO	NO	SOLTERO	0		264	1679,51	0	1	13	1	13	8	480	2	0	88,4	950	6,86	-4,61	0,35	-4,61	-4,61	0	0,15	1900	-4,61	-4,61
1	1	25	Familiar	MASCULINO	NO	SOLTERO	0	280	342	1515,68	0	1	13	1	13	31	36	2	0	94,73	800	6,68	-4,61	0,22	-4,61	-4,61	-4,61	0,16	1600	-4,61	0
1	1	23	Familiar	MASCULINO	NO	SOLTERO	0	360	900	1390,81	0	1	13	1	13	1	874	2	0	92,72	750	6,62	11,27	0,21	10,75	-0,41	0	0,15	1500	0	-4,61
1	1	26	Familiar	MASCULINO	NO	SOLTERO	0			1680,76	0	1	13	1	13	6	723	2	0	88,46	950	6,86	-4,61	0,27	-4,61	-4,61	0	0,15	1900	-4,61	-4,61
1	1	35	Familiar	MASCULINO	NO	SOLTERO	0		360	1576,3	0	1	13	1	13	1	917	2	0	87,57	900	6,8	9,64	0,27	9,39	0	0	0,15	1800	-4,61	0
1	1	23	Familiar	MASCULINO	NO	SOLTERO	0			2049,63	0	1	13	1	13	5	879	2	0	89,11	1150	7,05	9,37	0,46	8,48	-0,69	0	0,15	2300	-4,61	-4,61
1	1	24	Familiar	MASCULINO	NO	SOLTERO	0		292	1388,93	0	1	13	1	13	31	733	2	0	92,6	750	6,62	6,86	0,28	-4,61	-4,61	0	0,15	1500	-4,61	-4,61
1	1	26	Familiar	MASCULINO	NO	SOLTERO	0			1457,42	0	1	13	1	13	1	917	2	0	91,09	800	6,68	-4,61	0,28	-4,61	-4,61	0	0,15	1600	-4,61	-4,61
1	1	27	FAMILIAR	MASCULINO	NO	CASADO	1	360	541	1876,46	0	1	13	1	13	18	781	2	0	89,36	1050	6,96	9,68	0,32	9,58	-4,61	-1,27	0,15	2100	-4,61	-4,61
1	1	39	Familiar	MASCULINO	NO	SOLTERO	0		566	4997,04	0	1	13	1	13	47	59	2	0	92,54	2700	7,9	10,06	0,42	9,57	0	0	0,15	5400	-4,61	-4,61
1	1	28	Familiar	MASCULINO	NO	SOLTERO	0	360	2360	3422,03	0	1	13	1	13	34	326	2	0	92,49	1850	7,52	10,22	0,38	9,42	0	0	0,15	3700	-4,61	0
1	1	40	Familiar	MASCULINO	N	SOLTERO	0			1704,95	0	1	13	1	13	28	120	2	0	89,73	1100	7	10,88	0,22	10,15	-0,41	-0,21	0,13	2200	0	-4,61
1	1	35	Familiar	MASCULINO	NO	SOLTERO	0		407	2206,07	0	1	13	1	13	35	587	2	0	91,92	1200	7,09	11,55	0,31	11,23	-4,61	-0,53	0,15	2400	-4,61	-4,61
1	1	32	-	MASCULINO	-	CASADO	0		294	775,23	0	11	0,5394	1,0909	0,4944	96	953	1	0	193,81	1000	6,91	10,54	0,23	10,15	0	-4,61	0,13	1000	-4,61	-4,61
1	1	27	Familiar	MASCULINO	NO	SOLTERO	0			1360,96	0	1	13	1	13	30	264	2	0	90,73	750	6,62	-4,61	0,27	-4,61	-4,61	0	0,15	1500	-4,61	-4,61
1	1	23	Familiar	MASCULINO	NO	SOLTERO	0		640	1957,31	0	1	13	1	13	46	9	2	0	88,97	1100	7	10,75	0,63	10,1	-0,41	0	0,15	2200	-4,61	-4,61
1	1	27	Familiar	MASCULINO	NO	SOLTERO	0	400	1000	1354,7	0	1	13	1	13	35	504	2	0	90,31	750	6,62	-4,61	0,29	-4,61	-4,61	0	0,15	1500	-4,61	-4,61
1	1	24	Familiar	MASCULINO	NO	SOLTERO	0			1335,89	0	1	13	1	13	4	879	2	0	89,06	750	6,62	-4,61	0,31	-4,61	-4,61	0	0,15	1500	-4,61	-4,61
1	1	20	Familiar	MASCULINO	NO	SOLTERO	0			1157,94	0	1	13	1	13	1	917	2	0	89,07	650	6,48	-4,61	0,31	-4,61	-4,61	-4,61	0,15	1300	-4,61	0
1	1	24	Familiar	MASCULINO	NO	SOLTERO	0		265	1313,13	0	1	13	1	13	5	879	2	0	93,8	700	6,55	-4,61	0,35	-4,61	-4,61	0	0,16	1400	-4,61	-4,61
1	1	24	Familiar	MASCULINO	NO	SOLTERO	0	600	1500	1336,1	0	1	13	1	13	5	247	2	0	89,07	750	6,62	10,51	0,27	9,77	0	0	0,15	1500	-4,61	-4,61
1	1	19	Familiar	MASCULINO	NO	SOLTERO	0		292	1950,71	0	1	13	1	13	1	874	2	0	88,67	1100	7	10,77	0,3	10,37	0	0	0,15	2200	-4,61	0
1	1	26	Familiar	MASCULINO	NO	SOLTERO	0	760	1900	3239,09	0	1	13	1	13	42	913	2	0	83,05	1950	7,58	-4,61	0,62	-4,61	-4,61	0	0,14	3900	-4,61	-4,61
1	1	27	Familiar	MASCULINO	NO	SOLTERO	0	360	325	1188,84	0	1	13	1	13	29	547	2	0	91,45	650	6,48	7,64	0,17	7,64	0	0	0,15	1300	0	-4,61
1	1	22	Familiar	MASCULINO	NO	SOLTERO	0		301	1253,58	0	1	13	1	13	1	917	2	0	92,86	675	6,51	8,32	0,33	8,23	0	0	0,15	1350	-4,61	-4,61
1	1	27	Familiar	MASCULINO	NO	SOLTERO	0		314	1852,56	0	1	13	1	13	3	294	2	0	88,22	1050	6,96	-4,61	0,33	-4,61	-4,61	0	0,15	2100	-4,61	-4,61
1	1	20	Familiar	MASCULINO	NO	SOLTERO	0	200	500	1142,07	0	1	13	1	13	2	135	2	0	76,14	750	6,62	-4,61	0,23	-4,61	-4,61	-0,43	0,13	1500	-4,61	0
1	1	59	Familiar	MASCULINO	NO	SOLTERO	0		414	1987,93	0	1	13	1	13	90	909	2	0	90,36	1100	7	10,57	0,46	9,51	-0,69	0	0,15	2200	-4,61	0
1	1	37	Familiar	MASCULINO	NO	SOLTERO	0			2673,35	0	1	13	1	13	90	44	2	0	92,18	1450	7,28	9,52	0,35	7,36	-4,61	0	0,15	2900	-4,61	-4,61
1	1	21	Familiar	MASCULINO	NO	SOLTERO	0		456	1525,82	0	1	13	1	13	10	25	2	0	89,75	850	6,75	10,9	0,27	10,28	-0,41	0	0,15	1700	-4,61	-4,61
1	1	30	Familiar	MASCULINO	NO	SOLTERO	0		295	1571,48	0	1	13	1	13	41	892	2	0	87,3	900	6,8	-4,61	0,44	-4,61	-4,61	0	0,15	1800	-4,61	0
1	1	21	Familiar	MASCULINO	N	SOLTERO	0			1481,16	0	1	13	1	13	32	510	2	0	93,68	940,58	6,85	9,57	0,22	9,25	-0,69	0	0,13	1881,16	-4,61	0
1	1	29	Familiar	MASCULINO	N	SOLTERO	0			3664,58	0	1	13	1	13	86	939	2	0	92,43	2332,29	7,75	8,3	0,25	7,56	0	0	0,13	4664,58	-4,61	-4,61
1	1	26	Familiar	MASCULINO	NO	SOLTERO	0	480	1200	3279,75	0	1	13	1	13	11	886	2	0	59,05	2777,26	7,93	8,04	0,28	7,6	0	0	0,1	5554,52	-4,61	-4,61
1	1	22	Familiar	MASCULINO	NO	SOLTERO	0			1373,36	0	1	13	1	13	40	889	2	0	91,56	750	6,62	9,69	0,28	9,29	-1,1	0	0,15	1500	-4,61	-4,61
1	1	22	Familiar	MASCULINO	NO	SOLTERO	0			1213,96	0	1	13	1	13	41	282	2	0	93,38	650	6,48	-4,61	0,27	-4,61	-4,61	0	0,16	1300	-4,61	-4,61
1	1	22	Familiar	MASCULINO	NO	SOLTERO	0	280	700	1822,34	0	1	13	1	13	9	262	2	0	91,12	1000	6,91	8,19	0,34	7,98	-0,69	0	0,15	2000	-4,61	-4,61
1	1	21	Familiar	MASCULINO	NO	SOLTERO	0	360	900	1513,57	0	1	13	1	13	2	898	2	0	94,6	800	6,68	8,73	0,26	8,59	-0,69	0	0,16	1600	-4,61	-4,61
1	1	23	Familiar	MASCULINO	NO	SOLTERO	0		29	1775,44	0	1	13	1	13	21	25	2	0	88,77	1000	6,91	11,74	0,4	11,1	0	-4,61	0,15	2000	-4,61	-4,61
1	1	31	Familiar	MASCULINO	NO	SOLTERO	0			1564,11	0	1	13	1	13	36	890	2	0	86,9	900	6,8	-4,61	0,29	-4,61	-4,61	0	0,14	1800	-4,61	-4,61
1	1	20	Familiar	MASCULINO	NO	SOLTERO	0	320	800	1428,92	0	1	13	1	13	3	247	2	0	89,31	800	6,68	10,16	0,22	9,09	-0,69	-4,61	0,15	1600	-4,61	-4,61
1	1	22	Familiar	MASCULINO	N	SOLTERO	0			1129,81	0	1	13	1	13	1	917	2	0	86,91	650	6,48	12,06	0,3	11,57	0	0	0,14	1300	-4,61	-4,61
1	1	30	Familiar	MASCULINO	NO	SOLTERO	0		267	1642,45	0	1	13	1	13	57	780	2	0	86,44	950	6,86	10,68	0,31	10,07	0	0	0,14	1900	-4,61	-4,61
1	1	43	Familiar	MASCULINO	N	SOLTERO	0		66	2261,96	0	1	13	1	13	52	133	2	0	91,88	1430,98	7,27	7,84	0,28	7,77	0	0	0,13	2861,96	-4,61	-4,61
1	1	43	Familiar	MASCULINO	NO	SOLTERO	0		59	2312,39	0	1	13	1	13	20	515	2	0	92,5	1250	7,13	10,52	0,26	10,14	-0,22	-4,61	0,15	2500	-4,61	-4,61
1	1	40	Familiar	MASCULINO	N	SOLTERO	0		327	1435,97	0	1	13	1	13	111	65	2	0	93,49	917,99	6,82	-4,61	0,23	-4,61	-4,61	-4,61	0,13	1835,97	-4,61	0
1	1	35	Familiar	FEMENINO	NO	SOLTERO	0	480	264	2138,96	0	1	13	1	13	66	37	2	0	89,12	1200	7,09	10,79	0,28	10,37	-0,41	0	0,15	2400	-4,61	-4,61
1	1	26	Familiar	MASCULINO	NO	SOLTERO	0			1184,62	0	1	13	1	13	36	538	2	0	91,12	650	6,48	-4,61	0,26	-4,61	-4,61	0	0,15	1300	-4,61	-4,61
1	1	25	Familiar	MASCULINO	NO	SOLTERO	0	320	800	1486,82	0	1	13	1	13	37	28	2	0	92,93	800	6,68	7,53	0,23	7,41	-0,69	-4,61	0,15	1600	-4,61	-4,61
1	1	21	Familiar	MASCULINO	NO	SOLTERO	0			1270,55	0	1	13	1	13	18	544	2	0	90,75	700	6,55	-4,61	0,38	-4,61	-4,61	0	0,15	1400	-4,61	0
1	1	26	Familiar	MASCULINO	NO	SOLTERO	0	320	386	1882,16	0	1	13	1	13	10	113	2	0	89,63	1050	6,96	9,75	0,32	9,2	-0,69	-4,61	0,15	2100	-4,61	-4,61
1	1	24	Familiar	MASCULINO	NO	SOLTERO	0			1938,87	0	1	13	1	13	6	879	2	0	88,13	1100	7	9,25	0,27	9,52	-0,69	-4,61	0,15	2200	-4,61	-4,61
1	1	27	Familiar	MASCULINO	NO	SOLTERO	0			1111,04	0	1	13	1	13	68	32	2	0	92,59	600	6,4	11,68	0,26	10,94	-0,69	0	0,15	1200	-4,61	-4,61
1	1	25	Familiar	MASCULINO	NO	SOLTERO	0	360	900	1326,84	0	1	13	1	13	5	879	2	0	88,46	750	6,62	9,15	0,23	8,82	0	0	0,15	1500	-4,61	-4,61
1	1	22	Familiar	MASCULINO	NO	SOLTERO	0	480	1200	2303,03	0	1	13	1	13	1	874	2	0	92,12	1250	7,13	10,91	0,27	10,93	-0,69	0	0,15	2500	-4,61	-4,61
1	1	25	Familiar	MASCULINO	NO	SOLTERO	0		59	963,42	0	1	13	1	13	1	917	2	0	87,58	550	6,31	-4,61	0,26	-4,61	-4,61	-4,61	0,15	1100	-4,61	0
1	1	23	Familiar	MASCULINO	NO	SOLTERO	0		273	1058,31	0	1	13	1	13	1	917	2	0	87,46	605	6,41	-4,61	0,28	-4,61	-4,61	0	0,15	1210	-4,61	-4,61
1	1	21	Familiar	MASCULINO	NO	SOLTERO	0	480	1200	2363,28	0	1	13	1	13	1	874	2	0	90,9	1300	7,17	-4,61	0,28	-4,61	-4,61	0	0,15	2600	-4,61	-4,61
1	1	20	Familiar	MASCULINO	NO	SOLTERO	0	480	1200	2504,78	0	1	13	1	13	1	874	2	0	92,77	1350	7,21	10,18	0,3	9,85	-0,29	0	0,15	2700	-4,61	-4,61
1	1	23	Familiar	MASCULINO	NO	SOLTERO	0			1063,06	0	1	13	1	13	1	917	2	0	88,59	600	6,4	6,44	0,27	5,27	-4,61	-0,03	0,15	1200	-4,61	-4,61
