IdNumerico	Ingreso	Edad	Score	Antiguedad
2450241787	482,03	19	0	0
2450229501	1020,16	20	874	1
2450087669	1136,87	19	874	1
2450064221	1129,45	20	874	1
2450061276	905,83	19	874	1
2450024134	1117,33	19	874	1
2450009309	1104,34	19	874	1
2400353872	1134,55	20	917	1
2400327249	1175,61	19	874	1
2400322042	1101,79	22	874	1
2400318628	1654,74	22	879	10
2400309825	1116,2	22	874	1
2400252843	1142,05	19	929	1
2400221152	1080,93	19	917	1
2400212466	973,24	20	917	1
2400201493	1109,36	21	898	2
2400200685	1141,47	19	874	1
2400165698	1043,26	19	874	1
2400164089	913,54	20	874	1
2400160327	1026,15	20	874	1
2400152100	1115,44	21	874	1
2400135972	1046,17	19	874	1
2400129355	1091,4	20	874	1
2400128696	1130,77	20	874	1
2400127813	1177,08	23	917	1
2400121634	1148,07	22	917	1
2400116378	1030,14	19	490	10
2400115032	921,71	20	874	1
2400113441	1126,81	20	254	3
2400110553	1075,67	22	874	1
2400107138	1029,35	22	879	8
2400103699	1115,23	21	874	1
2400094369	1088,92	23	874	1
2400092124	1052,37	20	874	1
2400085870	1109,73	19	874	1
2400084832	1027,24	20	104	4
2400082653	1125,03	21	874	1
2400074957	1067,66	19	874	1
2400071920	1159,92	22	911	27
2400067407	1113,01	19	874	1
2400056228	1134,22	23	874	1
2400048308	1149,78	22	917	1
2400047821	950,92	23	917	1
2400043127	903,63	22	710	13
2400039612	1096,68	22	891	27
2400036329	1147,88	23	886	24
2400035958	1132,67	22	874	1
2400026825	1378,23	26	917	1
2400020117	1109,67	22	874	1
2400008260	922,58	20	874	1
2400004376	482,03	22	0	0
2400004269	1035,02	22	874	1
2400001653	1111,58	21	882	10
2350073165	1029,13	20	874	1
2300590151	966,51	34	874	1
2300573165	985,66	21	104	5
2300556848	1136,92	19	874	1
2300534787	936,32	20	874	1
2300485147	1140,94	19	917	1
2300464050	1097,53	20	874	1
2300377674	859,06	24	329	8
2300342553	960,57	20	104	3
2300258585	716,65	21	564	10
2300187586	1103,96	19	874	1
2300145121	1007,16	29	482	14
2300113491	1107,57	23	884	12
2300096530	1091,92	26	880	11
2300092679	1017,25	22	274	22
2200279707	915,96	30	814	1
2200033641	2592,43	29	954	89
2200016125	990,01	31	904	75
2200013122	1014,12	30	957	78
2150008205	1109,67	19	874	1
2100836291	880,28	27	874	1
2100611785	1117,19	25	814	1
2100543657	1039,79	23	917	1
2100515069	482,03	26	718	51
2100475678	893,04	27	921	72
2100456710	1464,42	25	827	51
2100412937	1811,55	24	604	36
